loss,ppl,tokens,group
3.19473397731781,24.54659312493792,35,Clean
3.3458356857299805,29.343670466495624,22,Clean
3.296496868133545,27.61538302873356,30,Clean
4.383805871009827,225.6705201174572,27,Clean
5.431307077407837,278.0780478366007,17,Clean
5.0444769859313965,245.88527401947496,24,Clean
3.4319831132888794,35.37981616775741,26,Clean
4.036633253097534,56.79471043742747,24,Clean
3.757736325263977,43.74514549603553,29,Clean
3.164569616317749,24.16947978452584,32,Clean
3.6439013481140137,39.7070495039209,28,Clean
3.834172487258911,51.37614004073989,24,Clean
4.0460227727890015,59.680517156774044,37,Clean
3.9742640256881714,54.54602716793088,39,Clean
4.0676974058151245,61.381943554005254,47,Clean
3.503886342048645,34.5904936640199,40,Clean
3.404922366142273,31.75770195012236,63,Clean
3.093079090118408,22.048145791258847,53,Clean
3.4845683574676514,35.37089664911508,50,Clean
3.7976876497268677,47.55082779303386,51,Clean
3.647884488105774,43.53088351249442,59,Clean
4.480915307998657,92.91358966744843,49,Clean
3.107210874557495,23.66210314882687,33,Clean
3.669645667076111,56.32280720027615,25,Clean
2.8706709146499634,17.743085031931844,26,Clean
3.448450207710266,35.91054576868385,68,Clean
3.454702854156494,36.24553652554451,66,Clean
2.691139817237854,15.143457200548754,67,Clean
3.174524188041687,25.43313455566428,70,Clean
3.7156686782836914,41.80451688405442,64,Clean
3.9181045293807983,54.162894167296955,68,Clean
3.958618640899658,59.0597636651952,28,Clean
4.191460728645325,68.48586236767795,20,Clean
3.722579598426819,53.079367419829865,22,Clean
3.551263928413391,36.32214088093053,36,Clean
3.2157753705978394,24.949661287923895,35,Clean
3.2764288187026978,26.48365418721458,35,Clean
3.583956480026245,36.76034657406706,44,Clean
3.9397120475769043,52.00474950365955,38,Clean
3.494825839996338,34.36026246220375,41,Clean
2.79900324344635,16.43335842554164,24,Clean
2.767406463623047,15.917654819371911,30,Clean
3.3078324794769287,31.311283894240006,21,Clean
3.499315023422241,33.3003193843069,61,Clean
3.904703974723816,51.7879092715247,60,Clean
3.1524670124053955,25.89919687001899,66,Clean
4.255075454711914,71.1735331633628,16,Clean
4.4880454540252686,95.27348971228768,16,Clean
4.357985496520996,80.45324550328422,21,Clean
3.5755785703659058,36.72581162226834,24,Clean
3.5213223695755005,35.277426246469105,24,Clean
3.719713807106018,41.431843582581905,25,Clean
4.404438018798828,84.8916803041999,33,Clean
4.203130722045898,74.5779608323565,35,Clean
4.333271622657776,80.76322622440995,34,Clean
3.8476756811141968,47.892779359255584,61,Clean
4.2182358503341675,79.56233988601223,48,Clean
3.3368771076202393,29.438642091604038,60,Clean
4.822892427444458,129.61068746075233,27,Clean
3.9803823232650757,53.55027024371229,53,Clean
3.595738410949707,38.867403758993106,52,Clean
3.7996586561203003,45.25112724549033,55,Clean
2.87387478351593,17.72350733551943,25,Clean
2.8926557302474976,18.04741168297097,31,Clean
2.9541653394699097,19.197577081741045,29,Clean
3.5534123182296753,34.936735405182986,22,Clean
3.28164279460907,27.495545188190803,24,Clean
3.7721863985061646,44.677741061576086,25,Clean
3.6527037620544434,38.59018648714124,23,Clean
3.8357013463974,46.9107843545941,19,Clean
4.150111198425293,70.67575078337582,23,Clean
3.1450393199920654,23.342194311635247,27,Clean
3.4105783700942993,32.35464578591804,30,Clean
3.475187659263611,35.371827048718465,25,Clean
3.9432899951934814,56.87771228292169,36,Clean
3.832440137863159,48.8413544684074,38,Clean
3.4324705600738525,31.01205529174641,39,Clean
3.1640844345092773,25.33484842511345,51,Clean
3.0996322631835938,23.256157917105696,36,Clean
2.831654906272888,16.987667607698512,40,Clean
2.870830774307251,17.81304108403077,61,Clean
3.3875248432159424,36.1045894643631,47,Clean
2.9130213260650635,18.70251200065497,56,Clean
3.9353513717651367,59.90793585320827,23,Clean
4.163129925727844,68.20889898675276,21,Clean
3.9102983474731445,59.20491382125635,24,Clean
2.940699815750122,21.465132994362985,36,Clean
3.725510835647583,42.311360134684385,23,Clean
3.700613260269165,43.71955107378656,51,Clean
3.49471378326416,33.55031004723474,63,Clean
3.4797492027282715,32.96183274766297,55,Clean
4.500723838806152,90.08231278097219,32,Clean
4.236692190170288,71.60399942852509,35,Clean
3.6158398389816284,39.57484235175728,30,Clean
3.947919487953186,51.843290106995084,33,Clean
4.2163403034210205,132.80482211913923,51,Clean
2.9565240144729614,19.241648778265834,56,Clean
3.086793303489685,22.20029516475943,60,Clean
3.2021886110305786,24.60233375347132,35,Clean
4.013908863067627,56.25246364881937,17,Clean
3.4715487957000732,33.096608152788065,32,Clean
3.378719449043274,29.639592341059725,32,Clean
3.5133990049362183,34.87778687612037,31,Clean
3.6585168838500977,42.39395977401615,34,Clean
3.286483645439148,26.788939207024207,21,Clean
3.3293051719665527,28.052307861557804,21,Clean
3.3991076946258545,30.915970915498555,46,Clean
3.4805784225463867,34.33435939210344,48,Clean
2.978395462036133,19.926768088417397,59,Clean
2.6316566467285156,14.57873918105554,50,Clean
3.152828812599182,32.006053705743504,44,Clean
2.8278692960739136,19.140638553949497,48,Clean
3.261992931365967,28.391675262894104,49,Clean
3.3274511098861694,31.158562539677668,53,Clean
3.2222260236740112,26.87931569196035,51,Clean
4.499453783035278,143.41593972369478,41,Clean
3.9157814979553223,55.55763175155998,45,Clean
3.596923828125,36.842341713368036,44,Clean
3.1484079360961914,23.33812157527821,30,Clean
3.2980908155441284,30.5287023750816,50,Clean
3.6665061712265015,39.45929891361892,34,Clean
3.552398681640625,35.96417110358213,41,Clean
3.138163924217224,23.35872307399879,38,Clean
2.8290704488754272,17.117260743768597,42,Clean
3.197279214859009,25.057619343584875,47,Clean
3.8357741832733154,53.237167019303534,29,Clean
4.024878978729248,64.90861171982998,28,Clean
4.108415842056274,87.18304189674633,27,Clean
4.1379921436309814,91.74168929873241,28,Clean
4.038918972015381,77.47533462173143,26,Clean
3.74247145652771,43.92486071826991,47,Clean
3.4874207973480225,32.71593242639695,51,Clean
3.9028453826904297,54.53325629062014,47,Clean
3.6144407987594604,41.156268884687584,36,Clean
3.310703992843628,27.746385407295016,35,Clean
3.3882570266723633,30.438378650968268,41,Clean
3.108959674835205,24.638877284269658,28,Clean
2.9348151683807373,19.505844817760792,40,Clean
2.962389349937439,20.204357566009058,36,Clean
3.6059420108795166,36.816540678820374,39,Clean
3.3850364685058594,30.26363256410942,36,Clean
3.471036195755005,32.4774633050441,36,Clean
3.24325168132782,25.74214936245326,54,Clean
3.195210099220276,24.446827277978176,63,Clean
3.77187442779541,52.30183688576664,56,Clean
4.329946279525757,107.41034237167119,27,Clean
3.2958165407180786,31.33395305833261,34,Clean
3.3715351819992065,29.4467103482097,51,Clean
3.361519932746887,29.197890022981447,58,Clean
3.461009383201599,31.905388559595607,65,Clean
3.1152501106262207,22.584925755425687,29,Clean
3.2164987325668335,24.958152307068417,26,Clean
3.0916576385498047,22.097616951580523,32,Clean
3.9761093854904175,53.677465498594835,36,Clean
4.022994160652161,56.62441060999027,37,Clean
3.9570974111557007,52.559017237745074,34,Clean
3.0840150117874146,25.96212759081279,39,Clean
3.08320951461792,26.143859578096812,40,Clean
2.950912833213806,21.43235483994737,35,Clean
2.699183225631714,15.279517720227766,39,Clean
5.311156749725342,202.5844323908512,32,Clean
4.6962339878082275,130.90375308958528,32,Clean
3.6238192319869995,37.64449790833541,47,Clean
3.4898704290390015,32.80848084003487,43,Clean
3.476418972015381,32.390632805044,45,Clean
3.378814458847046,29.545900146776454,43,Clean
3.4234683513641357,31.090165863032993,50,Clean
3.1369909048080444,23.206823282235753,52,Clean
2.8286317586898804,17.119894276482515,74,Clean
3.2749147415161133,27.58888278501336,66,Clean
3.2873942852020264,28.037029923685434,55,Clean
3.389467239379883,29.712135631958347,62,Clean
3.8336448669433594,52.34566549081753,63,Clean
4.091132879257202,78.24464765177737,65,Clean
4.260029077529907,120.1560903967246,21,Clean
3.551863431930542,37.89174907294358,24,Clean
3.0554016828536987,21.30412740592181,30,Clean
3.376701593399048,39.53141521059057,35,Clean
4.057505965232849,58.34697719189671,32,Clean
4.299708127975464,74.11299675852042,27,Clean
3.9704554080963135,55.99851979814407,27,Clean
3.4664279222488403,32.4844578048957,30,Clean
3.6132622957229614,37.09655655383765,30,Clean
3.3601748943328857,28.879029329217126,25,Clean
3.2923762798309326,27.188233278073753,22,Clean
3.5922024250030518,36.75274930016672,27,Clean
3.4596128463745117,33.06819782698993,30,Clean
4.173184275627136,99.76350859876467,29,Clean
3.4963204860687256,34.67256480244775,30,Clean
3.737774133682251,42.04576261208982,30,Clean
3.4606469869613647,32.703806998025975,33,Clean
3.855399012565613,47.86884279394472,21,Clean
4.098165154457092,62.071928418973016,20,Clean
4.184414625167847,66.5020831557717,27,Clean
